sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
106,423,703,500,933,2507,2955,2814,2976,1417,788,6422
107,393,670,413,933,2507,2955,3090,2976,1417,788,6422
108,349,579,375,825,2714,3253,3496,3273,1339,643,6422
109,373,564,353,899,2635,3291,3528,3313,1448,752,6422
110,361,597,330,825,2714,3253,3454,3273,1339,643,6422
111,357,556,378,899,2635,3291,3422,3313,1448,752,6422
112,494,786,584,954,2526,3009,3000,3063,1432,805,6422
113,296,523,261,803,2748,3417,3592,3487,1264,634,6422
114,347,636,392,933,2507,2955,3308,2976,1417,788,6422
115,355,589,370,933,2507,2955,3326,2976,1417,788,6422
116,296,523,261,803,2748,3417,3592,3487,1264,634,6422
117,273,507,287,803,2748,3417,3682,3487,1264,634,6422
118,316,515,262,803,2748,3417,3706,3487,1264,634,6422
119,349,589,370,954,2526,3009,3360,3063,1432,805,6422
120,307,575,357,954,2526,3009,3362,3063,1432,805,6422
121,299,499,289,803,2748,3417,3650,3487,1264,634,6422
122,349,579,375,825,2714,3253,3496,3273,1339,643,6422
123,299,499,289,803,2748,3417,3650,3487,1264,634,6422
124,355,589,370,933,2507,2955,3326,2976,1417,788,6422
125,313,519,266,847,2565,3295,3748,3271,1357,647,6422
126,393,670,413,933,2507,2955,3090,2976,1417,788,6422
127,367,530,396,899,2635,3291,3378,3313,1448,752,6422
128,355,589,370,933,2507,2955,3326,2976,1417,788,6422
129,389,667,424,954,2526,3009,3172,3063,1432,805,6422
130,355,589,370,933,2507,2955,3326,2976,1417,788,6422
131,367,530,396,899,2635,3291,3378,3313,1448,752,6422
132,361,597,330,825,2714,3253,3454,3273,1339,643,6422
133,347,636,392,933,2507,2955,3308,2976,1417,788,6422
134,296,523,261,803,2748,3417,3592,3487,1264,634,6422
135,349,579,375,825,2714,3253,3496,3273,1339,643,6422
136,494,786,584,954,2526,3009,3000,3063,1432,805,6422
137,313,519,266,847,2565,3295,3748,3271,1357,647,6422
138,423,703,500,933,2507,2955,2814,2976,1417,788,6422
139,296,523,261,803,2748,3417,3592,3487,1264,634,6422
140,355,589,370,933,2507,2955,3326,2976,1417,788,6422
141,393,670,413,933,2507,2955,3090,2976,1417,788,6422
142,357,586,317,899,2635,3291,3516,3313,1448,752,6422
143,393,670,413,933,2507,2955,3090,2976,1417,788,6422
144,373,564,353,899,2635,3291,3528,3313,1448,752,6422
145,273,507,287,803,2748,3417,3682,3487,1264,634,6422
146,296,523,261,803,2748,3417,3592,3487,1264,634,6422
147,349,579,375,825,2714,3253,3496,3273,1339,643,6422
148,423,703,500,933,2507,2955,2814,2976,1417,788,6422
149,273,507,287,803,2748,3417,3682,3487,1264,634,6422
150,296,523,261,803,2748,3417,3592,3487,1264,634,6422
151,319,549,305,847,2565,3295,3310,3271,1357,647,6422
152,349,579,375,825,2714,3253,3496,3273,1339,643,6422
153,296,523,261,803,2748,3417,3592,3487,1264,634,6422
154,389,667,424,954,2526,3009,3172,3063,1432,805,6422
155,307,575,357,954,2526,3009,3362,3063,1432,805,6422
156,361,597,330,825,2714,3253,3454,3273,1339,643,6422
157,349,579,375,825,2714,3253,3496,3273,1339,643,6422
158,299,499,289,803,2748,3417,3650,3487,1264,634,6422
159,361,597,330,825,2714,3253,3454,3273,1339,643,6422
160,389,667,424,954,2526,3009,3172,3063,1432,805,6422
161,296,523,261,803,2748,3417,3592,3487,1264,634,6422
162,360,528,339,847,2565,3295,3426,3271,1357,647,6422
163,307,575,357,954,2526,3009,3362,3063,1432,805,6422
164,373,564,353,899,2635,3291,3528,3313,1448,752,6422
165,307,575,357,954,2526,3009,3362,3063,1432,805,6422
166,355,589,370,933,2507,2955,3326,2976,1417,788,6422
167,299,499,289,803,2748,3417,3650,3487,1264,634,6422
168,296,523,261,803,2748,3417,3592,3487,1264,634,6422
169,423,703,500,933,2507,2955,2814,2976,1417,788,6422
170,316,545,318,825,2714,3253,3516,3273,1339,643,6422
171,313,519,266,847,2565,3295,3748,3271,1357,647,6422
172,389,667,424,954,2526,3009,3172,3063,1432,805,6422
173,360,528,339,847,2565,3295,3426,3271,1357,647,6422
174,347,592,309,825,2714,3253,3470,3273,1339,643,6422
175,313,519,266,847,2565,3295,3748,3271,1357,647,6422
176,347,592,309,825,2714,3253,3470,3273,1339,643,6422
177,296,523,261,803,2748,3417,3592,3487,1264,634,6422
178,296,523,261,803,2748,3417,3592,3487,1264,634,6422
179,361,597,330,825,2714,3253,3454,3273,1339,643,6422
180,423,703,500,933,2507,2955,2814,2976,1417,788,6422
181,355,589,370,933,2507,2955,3326,2976,1417,788,6422
182,349,589,370,954,2526,3009,3360,3063,1432,805,6422
183,307,575,357,954,2526,3009,3362,3063,1432,805,6422
184,349,589,370,954,2526,3009,3360,3063,1432,805,6422
185,357,556,378,899,2635,3291,3422,3313,1448,752,6422
186,389,667,424,954,2526,3009,3172,3063,1432,805,6422
187,423,703,500,933,2507,2955,2814,2976,1417,788,6422
188,355,589,370,933,2507,2955,3326,2976,1417,788,6422
189,316,545,318,825,2714,3253,3516,3273,1339,643,6422
190,347,636,392,933,2507,2955,3308,2976,1417,788,6422
191,494,786,584,954,2526,3009,3000,3063,1432,805,6422
192,296,523,261,803,2748,3417,3592,3487,1264,634,6422
193,373,564,353,899,2635,3291,3528,3313,1448,752,6422
194,316,515,262,803,2748,3417,3706,3487,1264,634,6422
195,296,523,261,803,2748,3417,3592,3487,1264,634,6422
196,299,499,289,803,2748,3417,3650,3487,1264,634,6422
197,347,636,392,933,2507,2955,3308,2976,1417,788,6422
198,316,545,318,825,2714,3253,3516,3273,1339,643,6422
199,360,528,339,847,2565,3295,3426,3271,1357,647,6422
200,423,703,500,933,2507,2955,2814,2976,1417,788,6422
201,373,564,353,899,2635,3291,3528,3313,1448,752,6422
202,316,545,318,825,2714,3253,3516,3273,1339,643,6422
203,347,636,392,933,2507,2955,3308,2976,1417,788,6422
204,347,636,392,933,2507,2955,3308,2976,1417,788,6422
205,373,564,353,899,2635,3291,3528,3313,1448,752,6422
206,494,786,584,954,2526,3009,3000,3063,1432,805,6422
207,299,499,289,803,2748,3417,3650,3487,1264,634,6422
208,389,667,424,954,2526,3009,3172,3063,1432,805,6422
209,309,540,268,847,2565,3295,3814,3271,1357,647,6422
210,361,597,330,825,2714,3253,3454,3273,1339,643,6422
211,357,586,317,899,2635,3291,3516,3313,1448,752,6422
212,316,545,318,825,2714,3253,3516,3273,1339,643,6422
213,316,545,318,825,2714,3253,3516,3273,1339,643,6422
214,360,528,339,847,2565,3295,3426,3271,1357,647,6422
215,357,586,317,899,2635,3291,3516,3313,1448,752,6422
216,373,564,353,899,2635,3291,3528,3313,1448,752,6422
217,357,586,317,899,2635,3291,3516,3313,1448,752,6422
218,373,564,353,899,2635,3291,3528,3313,1448,752,6422
219,373,564,353,899,2635,3291,3528,3313,1448,752,6422
220,296,523,261,803,2748,3417,3592,3487,1264,634,6422
221,296,523,261,803,2748,3417,3592,3487,1264,634,6422
222,307,575,357,954,2526,3009,3362,3063,1432,805,6422
223,373,564,353,899,2635,3291,3528,3313,1448,752,6422
224,307,575,357,954,2526,3009,3362,3063,1432,805,6422
225,355,589,370,933,2507,2955,3326,2976,1417,788,6422
226,355,589,370,933,2507,2955,3326,2976,1417,788,6422
227,349,589,370,954,2526,3009,3360,3063,1432,805,6422
228,423,703,500,933,2507,2955,2814,2976,1417,788,6422
229,307,575,357,954,2526,3009,3362,3063,1432,805,6422
230,316,545,318,825,2714,3253,3516,3273,1339,643,6422
231,347,636,392,933,2507,2955,3308,2976,1417,788,6422
232,307,575,357,954,2526,3009,3362,3063,1432,805,6422
233,349,589,370,954,2526,3009,3360,3063,1432,805,6422
234,373,564,353,899,2635,3291,3528,3313,1448,752,6422
235,296,523,261,803,2748,3417,3592,3487,1264,634,6422
236,299,499,289,803,2748,3417,3650,3487,1264,634,6422
237,361,597,330,825,2714,3253,3454,3273,1339,643,6422
238,313,519,266,847,2565,3295,3748,3271,1357,647,6422
239,389,667,424,954,2526,3009,3172,3063,1432,805,6422
240,393,670,413,933,2507,2955,3090,2976,1417,788,6422
241,347,592,309,825,2714,3253,3470,3273,1339,643,6422
242,299,499,289,803,2748,3417,3650,3487,1264,634,6422
243,355,589,370,933,2507,2955,3326,2976,1417,788,6422
244,373,564,353,899,2635,3291,3528,3313,1448,752,6422
245,313,519,266,847,2565,3295,3748,3271,1357,647,6422
246,361,597,330,825,2714,3253,3454,3273,1339,643,6422
247,355,589,370,933,2507,2955,3326,2976,1417,788,6422
248,299,499,289,803,2748,3417,3650,3487,1264,634,6422
249,273,507,287,803,2748,3417,3682,3487,1264,634,6422
250,347,592,309,825,2714,3253,3470,3273,1339,643,6422
251,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
252,847,979,796,1127,2789,3427,3464,3525,1608,852,6422
253,833,1019,810,1113,2801,3495,3350,3614,1582,866,6422
254,859,933,699,1135,2724,3463,3608,3637,1567,800,6422
255,779,912,660,1134,2801,3558,3698,3610,1501,746,6422
256,804,921,678,1095,2886,3553,3736,3676,1501,769,6422
257,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
258,832,939,711,1125,2977,3800,3768,3931,1541,796,6422
259,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
260,763,926,660,1134,2801,3558,3802,3610,1501,746,6422
261,779,908,657,1095,2976,3816,3870,3948,1507,715,6422
262,809,908,664,1134,2801,3558,3602,3610,1501,746,6422
263,847,979,796,1127,2789,3427,3464,3525,1608,852,6422
264,773,902,688,1113,2801,3495,3846,3614,1582,866,6422
265,824,942,733,1160,2657,3384,3248,3495,1533,801,6422
266,832,993,814,1175,2784,3318,3222,3438,1662,953,6422
267,761,919,661,1122,2906,3642,3816,3824,1526,754,6422
268,810,925,694,1130,2751,3644,3848,3661,1556,792,6422
269,779,940,664,1095,2976,3816,3894,3948,1507,715,6422
270,773,902,688,1113,2801,3495,3846,3614,1582,866,6422
271,804,921,678,1095,2886,3553,3736,3676,1501,769,6422
272,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
273,813,959,750,1134,2801,3558,3642,3610,1501,746,6422
274,763,926,660,1134,2801,3558,3802,3610,1501,746,6422
275,761,919,661,1122,2906,3642,3816,3824,1526,754,6422
276,792,915,673,1113,2801,3495,3836,3614,1582,866,6422
277,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
278,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
279,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
280,813,959,750,1134,2801,3558,3642,3610,1501,746,6422
281,886,1021,832,1175,2784,3318,3274,3438,1662,953,6422
282,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
283,773,902,688,1113,2801,3495,3846,3614,1582,866,6422
284,771,894,682,1122,2906,3642,3740,3824,1526,754,6422
285,832,993,814,1175,2784,3318,3222,3438,1662,953,6422
286,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
287,792,915,673,1113,2801,3495,3836,3614,1582,866,6422
288,874,1005,869,1160,2657,3384,3288,3495,1533,801,6422
289,780,919,673,1094,3004,3837,3982,3963,1534,752,6422
290,779,940,664,1095,2976,3816,3894,3948,1507,715,6422
291,766,902,657,1099,2890,3823,3870,3927,1499,744,6422
292,834,969,736,1130,2751,3644,3482,3661,1556,792,6422
293,821,930,689,1095,2886,3553,3760,3676,1501,769,6422
294,760,913,661,1095,2976,3816,3826,3948,1507,715,6422
295,809,908,664,1134,2801,3558,3602,3610,1501,746,6422
296,779,908,657,1095,2976,3816,3870,3948,1507,715,6422
297,794,935,741,1122,2906,3642,3730,3824,1526,754,6422
298,794,935,741,1122,2906,3642,3730,3824,1526,754,6422
299,833,964,808,1135,2724,3463,3464,3637,1567,800,6422
300,792,915,673,1113,2801,3495,3836,3614,1582,866,6422
301,788,911,702,1175,2784,3318,3786,3438,1662,953,6422
302,788,911,702,1175,2784,3318,3786,3438,1662,953,6422
303,832,993,814,1175,2784,3318,3222,3438,1662,953,6422
304,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
305,834,969,736,1130,2751,3644,3482,3661,1556,792,6422
306,763,926,660,1134,2801,3558,3802,3610,1501,746,6422
307,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
308,761,919,661,1122,2906,3642,3816,3824,1526,754,6422
309,809,908,664,1134,2801,3558,3602,3610,1501,746,6422
310,832,939,711,1125,2977,3800,3768,3931,1541,796,6422
311,840,938,698,1118,2893,3683,3758,3804,1493,745,6422
312,834,969,736,1130,2751,3644,3482,3661,1556,792,6422
313,792,915,673,1113,2801,3495,3836,3614,1582,866,6422
314,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
315,779,940,664,1095,2976,3816,3894,3948,1507,715,6422
316,763,926,660,1134,2801,3558,3802,3610,1501,746,6422
317,833,964,808,1135,2724,3463,3464,3637,1567,800,6422
318,834,969,736,1130,2751,3644,3482,3661,1556,792,6422
319,859,933,699,1135,2724,3463,3608,3637,1567,800,6422
320,760,913,661,1095,2976,3816,3826,3948,1507,715,6422
321,832,993,814,1175,2784,3318,3222,3438,1662,953,6422
322,779,940,664,1095,2976,3816,3894,3948,1507,715,6422
323,780,919,673,1094,3004,3837,3982,3963,1534,752,6422
324,761,919,661,1122,2906,3642,3816,3824,1526,754,6422
325,766,902,657,1099,2890,3823,3870,3927,1499,744,6422
326,779,912,660,1134,2801,3558,3698,3610,1501,746,6422
327,874,1005,869,1160,2657,3384,3288,3495,1533,801,6422
328,780,919,673,1094,3004,3837,3982,3963,1534,752,6422
329,773,902,688,1113,2801,3495,3846,3614,1582,866,6422
330,766,929,697,1175,2784,3318,3748,3438,1662,953,6422
331,766,902,657,1099,2890,3823,3870,3927,1499,744,6422
332,788,911,702,1175,2784,3318,3786,3438,1662,953,6422
333,766,902,657,1099,2890,3823,3870,3927,1499,744,6422
334,792,915,673,1113,2801,3495,3836,3614,1582,866,6422
335,779,912,660,1134,2801,3558,3698,3610,1501,746,6422
336,779,908,657,1095,2976,3816,3870,3948,1507,715,6422
337,834,969,736,1130,2751,3644,3482,3661,1556,792,6422
338,783,897,683,1094,3004,3837,3882,3963,1534,752,6422
339,886,1021,832,1175,2784,3318,3274,3438,1662,953,6422
340,771,894,682,1122,2906,3642,3740,3824,1526,754,6422
341,779,940,664,1095,2976,3816,3894,3948,1507,715,6422
342,771,894,682,1122,2906,3642,3740,3824,1526,754,6422
343,780,919,673,1094,3004,3837,3982,3963,1534,752,6422
344,833,1019,810,1113,2801,3495,3350,3614,1582,866,6422
345,780,919,673,1094,3004,3837,3982,3963,1534,752,6422
346,766,902,657,1099,2890,3823,3870,3927,1499,744,6422
347,761,919,661,1122,2906,3642,3816,3824,1526,754,6422
348,779,940,664,1095,2976,3816,3894,3948,1507,715,6422
349,834,969,736,1130,2751,3644,3482,3661,1556,792,6422
350,761,919,661,1122,2906,3642,3816,3824,1526,754,6422
351,821,930,689,1095,2886,3553,3760,3676,1501,769,6422
352,798,921,669,1099,2890,3823,3870,3927,1499,744,6422
353,779,908,657,1095,2976,3816,3870,3948,1507,715,6422
354,763,926,660,1134,2801,3558,3802,3610,1501,746,6422
355,809,908,664,1134,2801,3558,3602,3610,1501,746,6422
356,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
